Клеймо за време,Вашият пол,Имате ли шофьорска книжка?,На колко години сте?,Колко пъти сте претърпявали ПТП зад волана?,Според вас средностатистическият мъж по-добър шофьор ли е от средностатистическата жена?,"Съгласни ли сте с факта, че мъжете са по-безотговорни на пътя, а жените са по-дезориентирани?",Според вас мъжете или жените зад волана са по опасни за останалите участници в движението?,"На колко промила трябва да е един мъж, за да кара по зле от жена?"
04.06.2022 14:45:40,Мъж,Да,20,1,Да,Да,Мъжете,0.5
04.06.2022 14:48:37,Жена,Да,20,0,Да,Да,Мъжете,0.5
04.06.2022 14:49:27,Мъж,Да,20,0,Да,"Не, жените са по-безотговорни",Жените,1.0
04.06.2022 14:50:19,Мъж,Да,20,0,Да,Да,Мъжете,0.8
04.06.2022 14:50:22,Мъж,Да,20,1,Да,"Не, мъжете са по-дезориентирани",Жените,1.0
04.06.2022 14:51:55,Жена,Да,20,0,Да,Да,Мъжете,0.5
04.06.2022 14:52:29,Жена,Не,20,0,Да,Да,Мъжете,0.0
04.06.2022 14:53:53,Жена,Да,20,0,Да,Да,Мъжете,0.0
04.06.2022 14:54:03,Мъж,Да,21,0,Да,"Не, жените са по-безотговорни",Жените,0.0
04.06.2022 14:54:26,Жена,Да,19,0,Не,Да,Мъжете,0.0
04.06.2022 14:55:54,Жена,Да,21,0,Да,Да,Мъжете,0.5
04.06.2022 14:56:45,Жена,Да,20,0,Не,Да,Мъжете,1.0
04.06.2022 14:57:53,Жена,Да,20,1,Не,Да,Мъжете,0.0
04.06.2022 14:58:07,Жена,Да,20,0,Да,Да,Мъжете,0.0
04.06.2022 14:58:57,Мъж,Да,21,0,Да,"Не, жените са по-безотговорни",Жените,1.0
04.06.2022 14:59:44,Мъж,Да,21,0,Да,"Не, жените са по-безотговорни",Жените,1.0
04.06.2022 15:00:16,Мъж,Да,20,0,Да,Да,Жените,1.0
04.06.2022 15:03:40,Жена,Не,19,0,Не,Да,Мъжете,0.0
04.06.2022 15:04:06,Жена,Да,20,0,Не,Да,Мъжете,0.0
04.06.2022 15:06:15,Мъж,Да,20,3,Да,Да,Мъжете,0.5
04.06.2022 15:07:07,Мъж,Да,21,0,Да,Да,Мъжете,0.0
04.06.2022 15:11:03,Мъж,Да,20,0,Да,Да,Мъжете,0.8
04.06.2022 15:11:24,Жена,Да,21,0,Да,Да,Мъжете,1.0
04.06.2022 15:22:41,Мъж,Да,20,0,Да,Да,Жените,0.8
04.06.2022 15:29:45,Мъж,Да,19,0,Да,Да,Жените,0.8
04.06.2022 15:31:26,Жена,Да,19,1,Да,Да,Мъжете,0.0
04.06.2022 15:32:56,Жена,Да,20,0,Да,Да,Мъжете,0.0
04.06.2022 15:32:59,Мъж,Да,23,0,Да,Да,Жените,1.0
04.06.2022 15:43:00,Мъж,Да,20,1,Да,Да,Жените,1.0
04.06.2022 15:46:57,Мъж,Да,20,0,Да,Да,Мъжете,0.5
04.06.2022 15:48:30,Мъж,Да,20,0,Да,Да,Мъжете,1.0
04.06.2022 15:48:44,Мъж,Да,19,0,Да,Да,Жените,1.0
04.06.2022 15:50:42,Мъж,Да,20,1,Да,Да,Жените,0.8
04.06.2022 15:51:59,Мъж,Да,20,2,Да,Да,Жените,0.8
04.06.2022 15:53:43,Мъж,Да,20,1,Да,Да,Мъжете,0.0
04.06.2022 15:55:37,Жена,Да,20,0,Да,Да,Жените,0.0
04.06.2022 15:56:03,Жена,Да,50,1,Да,Да,Жените,0.8
04.06.2022 15:56:46,Жена,Да,21,0,Да,Да,Жените,1.0
04.06.2022 15:57:19,Мъж,Да,20,0,Не,Да,Мъжете,1.0
04.06.2022 15:58:11,Жена,Не,20,0,Да,Да,Жените,0.0
04.06.2022 15:59:50,Мъж,Не,19,0,Да,Да,Мъжете,0.5
04.06.2022 16:02:19,Мъж,Да,20,0,Да,Да,Мъжете,1.0
04.06.2022 16:03:47,Мъж,Да,20,0,Да,Да,Жените,1.0
04.06.2022 16:28:55,Мъж,Да,20,0,Да,"Не, жените са по-безотговорни",Жените,0.8
04.06.2022 16:29:01,Мъж,Да,19,1,Да,Да,Жените,1.0
04.06.2022 16:33:49,Жена,Да,19,4,Да,Да,Жените,1.0
04.06.2022 16:35:39,Жена,Да,20,0,Не,"Не, мъжете са по-дезориентирани",Мъжете,0.0
04.06.2022 16:42:14,Мъж,Да,21,0,Да,Да,Жените,1.0
04.06.2022 16:50:20,Жена,Да,21,0,Не,Да,Мъжете,0.0
04.06.2022 16:56:39,Мъж,Да,19,2,Да,Да,Мъжете,0.0
04.06.2022 16:57:24,Жена,Да,21,0,Не,"Не, мъжете са по-дезориентирани",Мъжете,0.0
04.06.2022 16:58:17,Жена,Не,31,0,Да,Да,Мъжете,0.0
04.06.2022 16:59:05,Мъж,Да,21,1,Да,Да,Жените,1.0
04.06.2022 17:01:05,Мъж,Да,20,0,Да,Да,Жените,0.5
04.06.2022 17:01:06,Мъж,Да,20,1,Да,Да,Мъжете,1.0
04.06.2022 17:02:13,Мъж,Да,19,0,Да,Да,Жените,1.0
04.06.2022 17:03:44,Мъж,Да,20,3,Да,Да,Жените,1.0
04.06.2022 17:06:45,Жена,Да,20,3,Не,Да,Жените,0.0
04.06.2022 17:10:02,Мъж,Да,19,1,Да,Да,Жените,1.0
04.06.2022 17:25:54,Мъж,Да,20,0,Да,Да,Жените,0.0
