"color","num_critic_for_reviews","duration","gross","movie_title","num_voted_users","num_user_for_reviews","language","country","budget","title_year","imdb_score","movie_facebook_likes"
"Color",723,178,760505847,"Avatar ",886204,3054,"English","USA",2.37e+08,2009,7.9,33000
"Color",302,169,309404152,"Pirates of the Caribbean: At World's End ",471220,1238,"English","USA",3e+08,2007,7.1,0
"Color",602,148,200074175,"Spectre ",275868,994,"English","UK",2.45e+08,2015,6.8,85000
"Color",813,164,448130642,"The Dark Knight Rises ",1144337,2701,"English","USA",2.5e+08,2012,8.5,164000
"Color",462,132,73058679,"John Carter ",212204,738,"English","USA",263700000,2012,6.6,24000
"Color",392,156,336530303,"Spider-Man 3 ",383056,1902,"English","USA",2.58e+08,2007,6.2,0
"Color",324,100,200807262,"Tangled ",294810,387,"English","USA",2.6e+08,2010,7.8,29000
"Color",635,141,458991599,"Avengers: Age of Ultron ",462669,1117,"English","USA",2.5e+08,2015,7.5,118000
"Color",375,153,301956980,"Harry Potter and the Half-Blood Prince ",321795,973,"English","UK",2.5e+08,2009,7.5,10000
"Color",673,183,330249062,"Batman v Superman: Dawn of Justice ",371639,3018,"English","USA",2.5e+08,2016,6.9,197000
"Color",434,169,200069408,"Superman Returns ",240396,2367,"English","USA",2.09e+08,2006,6.1,0
"Color",403,106,168368427,"Quantum of Solace ",330784,1243,"English","UK",2e+08,2008,6.7,0
"Color",313,151,423032628,"Pirates of the Caribbean: Dead Man's Chest ",522040,1832,"English","USA",2.25e+08,2006,7.3,5000
"Color",450,150,89289910,"The Lone Ranger ",181792,711,"English","USA",2.15e+08,2013,6.5,48000
"Color",733,143,291021565,"Man of Steel ",548573,2536,"English","USA",2.25e+08,2013,7.2,118000
"Color",258,150,141614023,"The Chronicles of Narnia: Prince Caspian ",149922,438,"English","USA",2.25e+08,2008,6.6,0
"Color",703,173,623279547,"The Avengers ",995415,1722,"English","USA",2.2e+08,2012,8.1,123000
"Color",448,136,241063875,"Pirates of the Caribbean: On Stranger Tides ",370704,484,"English","USA",2.5e+08,2011,6.7,58000
"Color",451,106,179020854,"Men in Black 3 ",268154,341,"English","USA",2.25e+08,2012,6.8,40000
"Color",422,164,255108370,"The Hobbit: The Battle of the Five Armies ",354228,802,"English","New Zealand",2.5e+08,2014,7.5,65000
"Color",599,153,262030663,"The Amazing Spider-Man ",451803,1225,"English","USA",2.3e+08,2012,7,56000
"Color",343,156,105219735,"Robin Hood ",211765,546,"English","USA",2e+08,2010,6.7,17000
"Color",509,186,258355354,"The Hobbit: The Desolation of Smaug ",483540,951,"English","USA",2.25e+08,2013,7.9,83000
"Color",251,113,70083519,"The Golden Compass ",149019,666,"English","USA",1.8e+08,2007,6.1,0
"Color",446,201,218051260,"King Kong ",316018,2618,"English","New Zealand",2.07e+08,2005,7.2,0
"Color",315,194,658672302,"Titanic ",793059,2528,"English","USA",2e+08,1997,7.7,26000
"Color",516,147,407197282,"Captain America: Civil War ",272670,1022,"English","USA",2.5e+08,2016,8.2,72000
"Color",377,131,65173160,"Battleship ",202382,751,"English","USA",2.09e+08,2012,5.9,44000
"Color",644,124,652177271,"Jurassic World ",418214,1290,"English","USA",1.5e+08,2015,7,150000
"Color",750,143,304360277,"Skyfall ",522030,1498,"English","UK",2e+08,2012,7.8,80000
"Color",300,135,373377893,"Spider-Man 2 ",411164,1303,"English","USA",2e+08,2004,7.3,0
"Color",608,195,408992272,"Iron Man 3 ",557489,1187,"English","USA",2e+08,2013,7.2,95000
"Color",451,108,334185206,"Alice in Wonderland ",306320,736,"English","USA",2e+08,2010,6.5,24000
"Color",334,104,234360014,"X-Men: The Last Stand ",383427,1912,"English","Canada",2.1e+08,2006,6.8,0
"Color",376,104,268488329,"Monsters University ",235025,265,"English","USA",2e+08,2013,7.3,44000
"Color",366,150,402076689,"Transformers: Revenge of the Fallen ",323207,1439,"English","USA",2e+08,2009,6,0
"Color",378,165,245428137,"Transformers: Age of Extinction ",242420,918,"English","USA",2.1e+08,2014,5.7,56000
"Color",525,130,234903076,"Oz the Great and Powerful ",175409,511,"English","USA",2.15e+08,2013,6.4,60000
"Color",495,142,202853933,"The Amazing Spider-Man 2 ",321227,1067,"English","USA",2e+08,2014,6.7,41000
"Color",469,125,172051787,"TRON: Legacy ",264183,665,"English","USA",1.7e+08,2010,6.8,30000
"Color",304,106,191450875,"Cars 2 ",101178,283,"English","USA",2e+08,2011,6.3,10000
"Color",436,123,116593191,"Green Lantern ",223393,550,"English","USA",2e+08,2011,5.6,24000
"Color",453,103,414984497,"Toy Story 3 ",544884,733,"English","USA",2e+08,2010,8.3,30000
"Color",422,118,125320003,"Terminator Salvation ",286095,974,"English","USA",2e+08,2009,6.6,0
"Color",424,140,350034110,"Furious 7 ",278232,657,"English","USA",1.9e+08,2015,7.2,94000
"Color",654,123,202351611,"World War Z ",465019,995,"English","USA",1.9e+08,2013,7,129000
"Color",539,149,233914986,"X-Men: Days of Future Past ",514125,752,"English","USA",2e+08,2014,8,82000
"Color",590,132,228756232,"Star Trek Into Darkness ",395573,1171,"English","USA",1.9e+08,2013,7.8,92000
"Color",338,114,65171860,"Jack the Giant Slayer ",106416,205,"English","USA",1.95e+08,2013,6.3,22000
"Color",490,143,144812796,"The Great Gatsby ",362912,753,"English","Australia",1.05e+08,2013,7.3,115000
"Color",306,116,90755643,"Prince of Persia: The Sands of Time ",222403,453,"English","USA",2e+08,2010,6.6,23000
"Color",575,131,101785482,"Pacific Rim ",381148,1106,"English","USA",1.9e+08,2013,7,83000
"Color",428,154,352358779,"Transformers: Dark of the Moon ",326180,899,"English","USA",1.95e+08,2011,6.3,46000
"Color",470,122,317011114,"Indiana Jones and the Kingdom of the Crystal Skull ",333847,2054,"English","USA",1.85e+08,2008,6.2,5000
"Color",488,93,237282182,"Brave ",273556,428,"English","USA",1.85e+08,2012,7.2,39000
"Color",322,122,130468626,"Star Trek Beyond ",53607,432,"English","USA",1.85e+08,2016,7.5,30000
"Color",421,98,223806889,"WALL·E ",718837,1043,"English","USA",1.8e+08,2008,8.4,16000
"Color",162,91,140080850,"Rush Hour 3 ",121084,221,"English","USA",1.4e+08,2007,6.2,0
"Color",367,158,166112167,"2012 ",283418,1055,"English","USA",2e+08,2009,5.8,13000
"Color",240,96,137850096,"A Christmas Carol ",72809,249,"English","USA",2e+08,2009,6.8,0
"Color",384,127,47375327,"Jupiter Ascending ",139593,720,"English","USA",1.76e+08,2015,5.4,44000
"Color",248,110,124051759,"The Legend of Tarzan ",42372,239,"English","USA",1.8e+08,2016,6.6,29000
